status,D_in,gamma0_deg,gamma_impact_deg,omega_impact_rads,V_impact_mps,theta_last,Re_last,note
not_solved,3.25,-1,,,,89.0,173840.55832479452,"Unsupported List state Re=173841 theta=89.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,1.0,0,,,,90.0,53489.40256147524,"Unsupported List state Re=53489.4 theta=90.000000 status=('interpolated_1d', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,1.25,0,,,,90.0,66861.75320184404,"Unsupported List state Re=66861.8 theta=90.000000 status=('interpolated_1d', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,1.5,0,,,,90.0,80234.10384221285,"Unsupported List state Re=80234.1 theta=90.000000 status=('interpolated_1d', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,1.75,0,,,,90.0,93606.45448258167,"Unsupported List state Re=93606.5 theta=90.000000 status=('interpolated_1d', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,2.0,0,,,,90.0,106978.80512295048,"Unsupported List state Re=106979 theta=90.000000 status=('interpolated_1d', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,2.5,0,,,,90.0,133723.50640368808,"Unsupported List state Re=133724 theta=90.000000 status=('interpolated_1d', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,3.0,0,,,,90.0,160468.2076844257,"Unsupported List state Re=160468 theta=90.000000 status=('interpolated_1d', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,3.25,0,,,,90.0,173840.55832479452,"Unsupported List state Re=173841 theta=90.000000 status=('interpolated_1d', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,1.0,1,,,,91.0,53489.40256147524,"Unsupported List state Re=53489.4 theta=91.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,1.25,1,,,,91.0,66861.75320184404,"Unsupported List state Re=66861.8 theta=91.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,1.5,1,,,,91.0,80234.10384221285,"Unsupported List state Re=80234.1 theta=91.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,1.75,1,,,,91.0,93606.45448258167,"Unsupported List state Re=93606.5 theta=91.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,2.0,1,,,,91.0,106978.80512295048,"Unsupported List state Re=106979 theta=91.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
