wind_mps,roof_pitch_deg,diameter_in,beta_scale,beta_prescribed,V3_mps,V4_mps,vn3_mps,vn4_mps,vt3_mps,vt4_mps,Fn3_N,Fn4_N,Fn_evidence_status,Fn4_evidence_status
0.0,15.0,1.0,0.0,0.0,19.490052240941598,19.490052240941598,18.82594481524862,18.82594481524862,5.044396709998749,5.044396709998749,759.7347313994975,759.7347313994975,published_analytical_application,published_analytical_application
0.0,15.0,1.0,0.5,0.0033749999999999995,19.490052240941598,19.555831167254773,18.82594481524862,18.889482379000082,5.044396709998749,5.061421548894994,759.7347313994975,762.488155724508,published_analytical_application,published_analytical_application
0.0,15.0,1.0,1.0,0.006749999999999999,19.490052240941598,19.621610093567956,18.82594481524862,18.95301994275155,5.044396709998749,5.0784463877912405,759.7347313994975,765.2438651995716,published_analytical_application,published_analytical_application
0.0,15.0,1.0,1.5,0.010124999999999999,19.490052240941598,19.68738901988113,18.82594481524862,19.016557506503013,5.044396709998749,5.0954712266874855,759.7347313994975,768.0018800355929,published_analytical_application,published_analytical_application
0.0,15.0,1.0,2.0,0.013499999999999998,19.490052240941598,19.75316794619431,18.82594481524862,19.080095070254476,5.044396709998749,5.1124960655837315,759.7347313994975,770.7622205711953,published_analytical_application,published_analytical_application
0.0,15.0,1.25,0.0,0.0,21.493763272124202,21.493763272124202,20.761381048688197,20.761381048688197,5.562995285750818,5.562995285750818,1258.2562218712808,1258.2562218712808,published_analytical_application,published_analytical_application
0.0,15.0,1.25,0.5,0.003893652777777778,21.493763272124202,21.577452523193607,20.761381048688197,20.842218657678927,5.562995285750818,5.584655657797946,1258.2562218712808,1263.7372586596257,published_analytical_application,published_analytical_application
0.0,15.0,1.25,1.0,0.007787305555555556,21.493763272124202,21.661141774263008,20.761381048688197,20.92305626666965,5.562995285750818,5.606316029845074,1258.2562218712808,1269.2263450871505,published_analytical_application,published_analytical_application
0.0,15.0,1.25,1.5,0.011680958333333335,21.493763272124202,21.744831025332413,20.761381048688197,21.00389387566038,5.562995285750818,5.6279764018922025,1258.2562218712808,1274.7235580949634,published_analytical_application,published_analytical_application
0.0,15.0,1.25,2.0,0.015574611111111112,21.493763272124202,21.828520276401818,20.761381048688197,21.08473148465111,5.562995285750818,5.649636773939331,1258.2562218712808,1280.2289753034581,published_analytical_application,published_analytical_application
0.0,15.0,1.5,0.0,0.0,23.197562128485032,23.197562128485032,22.4071243668489,22.4071243668489,6.003970878800894,6.003970878800894,1902.1122891125897,1902.1122891125897,published_analytical_application,published_analytical_application
0.0,15.0,1.5,0.5,0.004448930555555556,23.197562128485032,23.300766471452846,22.4071243668489,22.506812107106708,6.003970878800894,6.030682128298257,1902.1122891125897,1911.9643453120507,published_analytical_application,published_analytical_application
