wind_speed_mps,direction,wind_x_mps,roof_pitch_deg,diameter_in,vx_impact_mps,vz_impact_mps,V_impact_mps,vn_M3_mps,vt_M3_mps,vn_M4_mps,vt_M4_mps,Fn_M3_N,Fn_M4_N,Fn_evidence
10.0,against_pitch_uphill,10.0,15.0,1.0,9.999999999840057,-19.490052044438446,21.905755606500325,21.414135076424962,4.614861603596199,21.583568578053928,4.56946203366394,873.9688880052279,881.6142359149969,published_analytical_application
10.0,against_pitch_uphill,10.0,15.0,1.25,9.999999986966532,-21.493762901632156,23.70615623442378,23.34957113847226,4.0962630604409,23.550271405610424,4.042485585940518,1438.1489059096969,1452.520989929436,published_analytical_application
10.0,against_pitch_uphill,10.0,15.0,1.5,9.999999767553012,-23.197561757528977,25.261173109050798,24.995314399396367,3.655287255573732,25.226847211776537,3.5932482254751585,2165.7830751519673,2190.2546913413867,published_analytical_application
10.0,against_pitch_uphill,10.0,15.0,1.75,9.99999826441092,-24.658360673422703,26.608921744197392,26.40633741023139,3.2772032231515524,26.668337031723894,3.207000636155376,3064.722420598708,3103.536536332172,published_analytical_application
10.0,against_pitch_uphill,10.0,15.0,2.0,9.999992510715396,-25.912438774800396,27.775066759094262,27.617682347369684,2.9526183688258922,27.90970145193929,2.8743720855820056,4139.556078759692,4197.852526375191,published_analytical_application
10.0,against_pitch_uphill,10.0,15.0,2.5,9.999948938537905,-27.891703941593168,29.63015571236252,29.52949441173979,2.4403047608603603,29.879731535032903,2.346459006514572,6815.829911437691,6931.90963727296,published_analytical_application
10.0,against_pitch_uphill,10.0,15.0,3.0,9.999845947807025,-29.257873159874148,30.919574072408512,30.849085886795915,2.0866146669295937,31.254149872557054,1.9780780990619649,10145.752445290422,10348.907280737274,published_analytical_application
10.0,against_pitch_uphill,10.0,15.0,3.25,9.999781828245911,-29.73173794123875,31.36832602513263,31.30678752192123,1.9639075019690417,31.737567324989744,1.8484804016211958,12017.587121822526,12275.800673137353,published_analytical_application
10.0,against_pitch_uphill,10.0,30.0,1.0,9.999999999840057,-19.490052044438446,21.905755606500325,21.87888019148456,1.0847719845133488,22.030790113208635,1.17247721871332,894.9954405010022,901.9071930706572,published_analytical_application
10.0,against_pitch_uphill,10.0,30.0,1.25,9.999999986966532,-21.493762901632156,23.70615623442378,23.614144689216243,2.086627424259003,23.794087625989896,2.1905175272440434,1457.1091482607803,1470.0723873594752,published_analytical_application
10.0,against_pitch_uphill,10.0,30.0,1.5,9.999999767553012,-23.197561757528977,25.261173109050798,25.08967767165499,2.938527042225096,25.297264312237136,3.058377245045369,2175.737360105934,2197.729376185965,published_analytical_application
10.0,against_pitch_uphill,10.0,30.0,1.75,9.99999826441092,-24.658360673422703,26.608921744197392,26.354765891068677,3.6689278019311966,26.589668325416174,3.8045487856350197,3057.12134200995,3091.846994064005,published_analytical_application
10.0,against_pitch_uphill,10.0,30.0,2.0,9.999992510715396,-25.912438774800396,27.775066759094262,27.440826508343758,4.295971835466533,27.702643674905346,4.447132047059332,4104.551831081794,4156.452409202616,published_analytical_application
10.0,against_pitch_uphill,10.0,30.0,2.5,9.999948938537905,-27.891703941593168,29.63015571236252,29.154898637523196,5.285642153475524,29.468912651710497,5.466938229095876,6693.620018091428,6795.931563176937,published_analytical_application
10.0,against_pitch_uphill,10.0,30.0,3.0,9.999845947807025,-29.257873159874148,30.919574072408512,30.33798439105741,5.96881595520531,30.701154825349477,6.178492503205548,9895.098595125088,10072.567528704312,published_analytical_application
10.0,against_pitch_uphill,10.0,30.0,3.25,9.999781828245911,-29.73173794123875,31.36832602513263,30.74833126989736,6.205803875056417,31.134557875233977,6.428791909615705,11691.183628788116,11915.945092647806,published_analytical_application
10.0,against_pitch_uphill,10.0,45.0,1.0,9.999999999840057,-19.490052044438446,21.905755606500325,20.852615778053536,6.7104801545487796,20.976649709750244,6.834514086245488,848.7913308083876,854.332208911957,published_analytical_application
10.0,against_pitch_uphill,10.0,45.0,1.25,9.999999986966532,-21.493762901632156,23.70615623442378,22.269453303609364,8.127317698310517,22.416376096247145,8.274240490948301,1361.9066701109314,1372.172766078251,published_analytical_application
10.0,against_pitch_uphill,10.0,45.0,1.5,9.999999767553012,-23.197561757528977,25.261173109050798,23.474220873243098,9.332085578241832,23.643714655524693,9.501579360523424,2008.7645009195257,2025.9571445494983,published_analytical_application
10.0,against_pitch_uphill,10.0,45.0,1.75,9.99999826441092,-24.658360673422703,26.608921744197392,24.507160629739545,10.365027460502205,24.69895766423587,10.556824494998533,2792.620296982399,2819.4138731085804,published_analytical_application
10.0,against_pitch_uphill,10.0,45.0,2.0,9.999992510715396,-25.912438774800396,27.775066759094262,25.39392369088414,11.251798658601048,25.607696512209863,11.46557147992677,3714.502326199215,3754.033476707731,published_analytical_application
10.0,against_pitch_uphill,10.0,45.0,2.5,9.999948938537905,-27.891703941593168,29.63015571236252,26.793444701907458,12.651381289988713,27.04983607085478,12.907772658936034,5964.234976654844,6040.31234240747,published_analytical_application
10.0,against_pitch_uphill,10.0,45.0,3.0,9.999845947807025,-29.257873159874148,30.919574072408512,27.759399394958056,13.617481633927722,28.055926812851567,13.914009051821232,8714.535199155145,8843.90989186756,published_analytical_application
10.0,against_pitch_uphill,10.0,45.0,3.25,9.999781828245911,-29.73173794123875,31.36832602513263,28.09442705584998,13.952599973572584,28.409779758570647,14.267952676293255,10251.000043048372,10413.590701366402,published_analytical_application
10.0,with_pitch_downhill,-10.0,15.0,1.0,-9.999999999840057,-19.490052044438446,21.905755606500325,16.23775417445734,14.703654921876181,16.407187676086306,14.749054491808439,649.2880484150448,656.4277682426602,published_analytical_application
10.0,with_pitch_downhill,-10.0,15.0,1.25,-9.999999986966532,-21.493762901632156,23.70615623442378,18.173190243168467,15.22225344016174,18.37389051030663,15.27603091466212,1086.595414278352,1099.6663156059456,published_analytical_application
