wind_mps,roof_pitch_deg,beta_scale,n_cases,dFn_M3toM4_min_pct,dFn_M3toM4_max_pct,dFn_M3toM4_mean_pct,dVt_M3toM4_min_pct,dVt_M3toM4_max_pct,dVt_M3toM4_mean_pct
0.0,15.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0
0.0,15.0,0.5,8,0.36241917227326104,1.345916361602181,0.7659168168183716,0.3374999999999859,0.9374999999999958,0.5925920138888854
0.0,15.0,1.0,8,0.7251391271695309,2.707481133713721,1.5369929710691612,0.675000000000007,1.8750000000000149,1.1851840277777765
0.0,15.0,1.5,8,1.0881625249469085,4.085193716648275,2.3133622974167696,1.0124999999999929,2.8124999999999996,1.7777760416666724
0.0,15.0,2.0,8,1.451492042674444,5.4795762170577245,3.0951638346204606,1.3499999999999963,3.7500000000000067,2.370368055555562
0.0,30.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0
0.0,30.0,0.5,8,0.3569091808525005,1.2505389108052545,0.7261812418610781,0.3374999999999872,0.937500000000004,0.5925920138888924
0.0,30.0,1.0,8,0.7140229226891941,2.511630407076365,1.4558831982609461,0.6750000000000109,1.87500000000002,1.1851840277777819
0.0,30.0,1.5,8,1.071343005679041,3.7835389840618556,2.1891785619930353,1.0124999999999982,2.812500000000012,1.777776041666675
0.0,30.0,2.0,8,1.4288712198090046,5.066538365593569,2.9261421875833338,1.3500000000000036,3.750000000000016,2.3703680555555633
0.0,45.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0
0.0,45.0,0.5,8,0.35161363050806593,1.1467503979301212,0.6827131978782623,0.3374999999999813,0.9374999999999813,0.5925920138888799
0.0,45.0,1.0,8,0.7033272062835957,2.2993108851529667,1.36737254999446,0.6750000000000143,1.8749999999999964,1.185184027777774
0.0,45.0,1.5,8,1.0551415995927875,3.4577823067802744,2.0540066363761516,1.0124999999999955,2.8125000000000115,1.7777760416666701
0.0,45.0,2.0,8,1.4070576873436964,4.622267865251514,2.7426446064523624,1.3500000000000025,3.75000000000001,2.3703680555555575
10.0,15.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0
10.0,15.0,0.5,8,0.32773635481536284,1.3372311422217094,0.7405656765729858,-3.6733879929845017,-0.36891331845364433,-1.5951798523161327
10.0,15.0,1.0,8,0.6558416212753401,2.693429715951402,1.4873290348369945,-7.3467759859691855,-0.7378266369073272,-3.190359704632309
10.0,15.0,1.5,8,0.984318822588659,4.069289207385356,2.240472563824345,-11.02016397895371,-1.1067399553609714,-4.785539556948492
10.0,15.0,2.0,8,1.3131710029916308,5.465539757619598,3.000187031275836,-14.693551971938291,-1.4756532738146158,-6.380719409264638
10.0,30.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0
10.0,30.0,0.5,8,0.28934374225849946,1.1972164013764153,0.6630440390606067,1.6942175412736904,3.0319238187580373,2.049955950714437
10.0,30.0,1.0,8,0.5789945546306255,2.4089526813166877,1.330891349489917,3.388435082547381,6.063847637516382,4.099911901428904
10.0,30.0,1.5,8,0.8689546739969347,3.6356681794306205,2.003664470829494,5.082652623821107,9.095771456274461,6.149867852143358
10.0,30.0,2.0,8,1.1592263514685988,4.877843144879372,2.6814907262473238,6.776870165094749,12.12769527503266,8.199823802857814
10.0,45.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0
10.0,45.0,0.5,8,0.2446409812563942,0.9889199234427776,0.5543179775314024,0.6931355554428468,1.4126072435516626,0.973219419836472
10.0,45.0,1.0,8,0.489470851003074,1.9858296117003873,1.111335109002128,1.3862711108857597,2.8252144871033886,1.946438839672961
10.0,45.0,1.5,8,0.7344907557051583,2.9909086838105154,1.6711007744437785,2.0794066663286066,4.237821730655038,2.9196582595094407
10.0,45.0,2.0,8,0.9797018475122596,4.004342463013153,2.2336656945257314,2.772542221771493,5.650428974206727,3.8928776793459177
20.0,15.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0
20.0,15.0,0.5,8,0.3038746267209886,1.3653067885974182,0.7348979074395886,-0.6206812921592771,-0.11927067389262155,-0.327542384673269
20.0,15.0,1.0,8,0.6081992190332711,2.7547687344728264,1.4775699531389446,-1.2413625843185543,-0.23854134778528044,-0.6550847693465456
20.0,15.0,1.5,8,0.9129773654268142,4.169425615483234,2.2282839170452657,-1.862043876477816,-0.357812021677902,-0.9826271540198213
20.0,15.0,2.0,8,1.218212682645322,5.610382611932712,2.9873220863518637,-2.4827251686371086,-0.4770826955705484,-1.3101695386930878
20.0,30.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0
20.0,30.0,0.5,8,0.2575771074182029,1.2669326676754087,0.6666649438462552,-5.678449838514233,-0.4341567091298577,-2.267865557426239
20.0,30.0,1.0,8,0.515608335931504,2.5577599101385426,1.3410007274910118,-11.356899677028627,-0.8683134182597742,-4.53573111485249
20.0,30.0,1.5,8,0.774096998035354,3.8735344519704453,2.0232769027109296,-17.035349515542805,-1.3024701273896437,-6.803596672278752
20.0,30.0,2.0,8,1.0330464334008067,5.215377023248873,2.713778047924735,-22.713799354057144,-1.7366268365195365,-9.071462229704988
20.0,45.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0
20.0,45.0,0.5,8,0.20756118947844515,1.0192219544481813,0.5400614869932284,-12.899149996458839,5.602577831151437,1.1429161105803811
20.0,45.0,1.0,8,0.41545238865873385,2.0531737773902123,1.0849788082052594,-25.798299992919066,11.205155662302621,2.2858322211606
20.0,45.0,1.5,8,0.6236755997014941,3.102357297455681,1.6348839438806726,-38.6974499893779,16.807733493454037,3.428748331741045
20.0,45.0,2.0,8,0.8322328389471081,4.16729927802644,2.18991452346402,-51.59659998583743,22.410311324605473,4.571664442321347
33.3,15.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0
33.3,15.0,0.5,8,0.28516574522259147,1.4837154750448704,0.7636208892692405,-0.2948211839165894,-0.06277379434067287,-0.16033336599867365
33.3,15.0,1.0,8,0.5709241277473664,3.0045189082675416,1.538785896368603,-0.5896423678331932,-0.12554758868138505,-0.3206667319973487
33.3,15.0,1.5,8,0.8572800195522898,4.564512748442293,2.326016457163216,-0.8844635517497537,-0.18832138302207102,-0.4810000979960222
33.3,15.0,2.0,8,1.1442383386573858,6.165975411444087,3.1258717753446725,-1.1792847356663576,-0.2510951773627701,-0.6413334639947043
33.3,30.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0
33.3,30.0,0.5,5,0.2556837392143308,0.7247518140851531,0.4696225387155395,-0.46265424304650266,-0.17225368189752327,-0.3084053723774411
33.3,30.0,1.0,5,0.5122270329864703,1.4598062615333989,0.9437103151123214,-0.9253084860930276,-0.34450736379508373,-0.6168107447548905
33.3,30.0,1.5,5,0.7696377668992069,2.2054831245497635,1.4223736497944226,-1.3879627291395304,-0.5167610456926071,-0.9252161171323443
33.3,30.0,2.0,5,1.0279239233130006,2.9621165388370403,1.9057270880218937,-1.850616972186033,-0.6890147275901489,-1.2336214895097892
33.3,45.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0
33.3,45.0,0.5,2,0.2299621818918613,0.31792516568827633,0.2739436737900688,-0.7088562865229981,-0.47631553328242143,-0.5925859099027098
33.3,45.0,1.0,2,0.4608747089160055,0.6378396624373912,0.5493571856766983,-1.4177125730459963,-0.9526310665649338,-1.185171819805465
33.3,45.0,1.5,2,0.6927467270047307,0.9597710098081436,0.8262588684064371,-2.1265688595689944,-1.4289465998473552,-1.7777577297081748
33.3,45.0,2.0,2,0.9255875050149184,1.283747267762925,1.1046673863889216,-2.8354251460919926,-1.905262133129813,-2.370343639610903
