diameter_in,fall_time_s,supported_time_fraction_pct,supported_z_max_m,supported_z_min_m,theta_axis_at_release_deg,theta_axis_at_impact_deg,Re_at_release,Re_at_impact,psi
1.0,51.90322920472114,0.0,,,90.0,0.0,53489.40256147524,33890.244271986005,0.9205792804799058
1.25,47.38887450747246,4.2,997.6362568283269,943.5710886590834,90.0,0.0,66861.75320184404,46717.99213482208,0.8952624927693241
1.5,44.1831698475239,8.74,997.4721204033312,935.6043029336804,90.0,8.537736562175269e-07,80234.10384221285,60505.56224465215,0.8686932722662523
1.75,41.80061453139331,9.719999999999999,997.3851843422528,928.6720535085608,90.0,8.189109109935089e-06,93606.45448258168,75035.00938129591,0.8410351891391397
2.0,39.97874234899122,10.56,997.2677196217056,922.6235842228772,90.0,3.4448470586312396e-05,106978.80512295048,90115.6000545731,0.8124094261626313
2.5,37.45275108615368,11.959999999999999,997.165278400759,912.7210031984572,90.0,0.00022475662180454492,133723.50640368808,121248.60435916536,0.7526115451682988
3.0,35.91949651672346,12.94,997.0718473942002,905.701225062526,90.0,0.0006586707366125211,160468.2076844257,152625.0112686515,0.6898554363002369
3.25,35.422639839704,13.28,997.0439102787076,903.2875409382148,90.0,0.0009236927323286181,173840.55832479452,168021.69320954176,0.6574932105184509
