diameter_in,n_points,fall_time_s,supported_points,supported_fraction_pct,entry_time_s,exit_time_s,entry_altitude_m,exit_altitude_m,entry_Re,exit_Re,entry_theta_axis_deg,exit_theta_axis_deg,Re_at_impact,theta_axis_at_impact_deg,psi
1.0,5000,51.90322920472114,0,0.0,,,,,,,,,33890.244271986005,0.0,0.9205792804799058
1.25,5000,47.38887450747246,210,4.2,0.7394143251816067,4.351168913568685,997.6362568283269,943.5710886590834,46782.104129615815,42632.64877658519,74.9022421108573,15.04305148023559,46717.99213482208,0.0,0.8952624927693241
1.5,5000,44.1831698475239,437,8.74,0.7601025418857882,4.613645661213737,997.4721204033312,935.6043029336804,58373.704715405525,55117.0369161002,74.8334120270482,15.002135503234172,60505.56224465215,8.537736562175269e-07,0.8686932722662523
1.75,5000,41.80061453139331,486,9.719999999999999,0.7692851644105189,4.824755868096407,997.3851843422528,928.6720535085608,70251.22732580722,68225.24494542695,74.92388451787444,15.00650139383697,75035.00938129591,8.189109109935089e-06,0.8410351891391397
2.0,5000,39.97874234899122,528,10.56,0.7837400980598399,4.998342462116326,997.2677196217056,922.6235842228772,82062.1951371619,81793.19477799676,74.83309341475776,15.020901816418103,90115.6000545731,3.44484705863124e-05,0.8124094261626313
2.5,5000,37.45275108615368,598,11.959999999999999,0.7941571544573494,5.266910184750157,997.165278400759,912.7210031984572,105981.1347862774,109747.9381526045,74.91292336823298,15.014751502248174,121248.60435916536,0.0002247566218045,0.7526115451682988
3.0,5000,35.91949651672346,647,12.94,0.8047576735093075,5.446484968929063,997.0718473942002,905.701225062526,129596.17191126946,137875.69112727483,74.87273550816614,15.004534174415966,152625.0112686515,0.0006586707366125,0.6898554363002369
3.25,5000,35.422639839704,664,13.28,0.80779774789483,5.5057793869673946,997.0439102787076,903.2875409382148,141265.69478104106,151667.79566543602,74.86789968394086,15.009739574594818,168021.69320954176,0.0009236927323286,0.6574932105184509
