chi,theta_deg,Re_min,Re_max,n_Re
0.5,0.0,40000.0,400000.0,10
0.5,15.0,40000.0,400000.0,10
0.5,30.0,40000.0,400000.0,10
0.5,45.0,40000.0,400000.0,10
0.5,60.0,40000.0,400000.0,10
0.5,75.0,40000.0,400000.0,10
0.5,90.0,40000.0,400000.0,10
