Dmax_m,Re_impact,V_impact_mps,diameter_in,impact_time_s,impact_x_mps,impact_z_mps,model,psi_impact,release_height_m,status,wind_mps
0.0508,nan,25.869787740510702,2.0,117.79382738311777,0.0,-25.869787740510702,Model 2,0.8124094261626313,3000.0,supported,0.0
0.0508,nan,42.194128566018875,2.0,110.12883337729129,33.29999999999981,-25.9124388170188,Model 3,0.8124094261626313,3000.0,sensitivity,33.3
0.0508,nan,25.869787740510702,2.0,195.10408675056829,0.0,-25.869787740510702,Model 2,0.8124094261626313,5000.0,supported,0.0
0.0508,nan,42.19412856938111,2.0,173.427610530714,33.29999999999981,-25.912438822493638,Model 3,0.8124094261626313,5000.0,sensitivity,33.3
0.0508,nan,25.869787740510702,2.0,272.4143461180395,0.0,-25.869787740510702,Model 2,0.8124094261626313,7000.0,supported,0.0
0.0508,nan,42.19412877141893,2.0,230.24990804607052,33.29999999999981,-25.91243915147888,Model 3,0.8124094261626313,7000.0,sensitivity,33.3
0.0508,nan,25.869787740510702,2.0,388.3797351691899,0.0,-25.869787740510702,Model 2,0.8124094261626313,10000.0,supported,0.0
0.0508,nan,42.19412876385134,2.0,304.1554759359262,33.29999999999981,-25.9124391391563,Model 3,0.8124094261626313,10000.0,sensitivity,33.3
0.0635,nan,26.707635631647175,2.5,5.501509150214453,0.0,-26.707635631647175,Model 2,0.7526115451682988,100.0,supported,0.0
0.0635,nan,38.26728245842847,2.5,5.837054076648575,28.01192147453778,-26.071385886781627,Model 3,0.7526115451682988,100.0,sensitivity,33.3
0.0635,nan,27.813610441184824,2.5,10.946712811171643,0.0,-27.813610441184824,Model 2,0.7526115451682988,250.0,supported,0.0
0.0635,nan,42.774779586591414,2.5,11.288085726977291,32.48618669462533,-27.826775643675024,Model 3,0.7526115451682988,250.0,sensitivity,33.3
0.0635,nan,27.838455678546964,2.5,19.928348716095655,0.0,-27.838455678546964,Model 2,0.7526115451682988,500.0,supported,0.0
0.0635,nan,43.40788311718718,2.5,20.11811384975316,33.26123876785161,-27.8914738288128,Model 3,0.7526115451682988,500.0,sensitivity,33.3
0.0635,nan,27.838500145345108,2.5,37.8890887165174,0.0,-27.838500145345108,Model 2,0.7526115451682988,1000.0,supported,0.0
0.0635,nan,43.437654643338355,2.5,37.452751086276436,33.29989058827996,-27.89170356436691,Model 3,0.7526115451682988,1000.0,sensitivity,33.3
0.0635,nan,27.83850014548711,2.5,109.73203964950527,0.0,-27.83850014548711,Model 2,0.7526115451682988,3000.0,supported,0.0
0.0635,nan,43.43773883568962,2.5,102.64862713938868,33.2999999999998,-27.891704056181144,Model 3,0.7526115451682988,3000.0,sensitivity,33.3
0.0635,nan,27.83850014548711,2.5,181.57499058247535,0.0,-27.83850014548711,Model 2,0.7526115451682988,5000.0,supported,0.0
0.0635,nan,43.43773882638341,2.5,161.47879739343088,33.2999999999998,-27.89170404168792,Model 3,0.7526115451682988,5000.0,sensitivity,33.3
0.0635,nan,27.83850014548711,2.5,253.41794151547776,0.0,-27.83850014548711,Model 2,0.7526115451682988,7000.0,supported,0.0
0.0635,nan,43.43773875618312,2.5,214.2918976993977,33.2999999999998,-27.891703932360013,Model 3,0.7526115451682988,7000.0,sensitivity,33.3
0.0635,nan,27.83850014548711,2.5,361.18236791494104,0.0,-27.83850014548711,Model 2,0.7526115451682988,10000.0,supported,0.0
0.0635,nan,43.43773872391339,2.5,282.98831055278714,33.2999999999998,-27.89170388210405,Model 3,0.7526115451682988,10000.0,sensitivity,33.3
0.07619999999999999,nan,27.695533925417475,3.0,5.411158774684609,0.0,-27.695533925417475,Model 2,0.6898554363002369,100.0,supported,0.0
0.07619999999999999,nan,38.28297445057911,3.0,5.737987432675616,27.189709909823073,-26.95006136919473,Model 3,0.6898554363002369,100.0,sensitivity,33.3
0.07619999999999999,nan,29.150051255473986,3.0,10.623928993369379,0.0,-29.150051255473986,Model 2,0.6898554363002369,250.0,supported,0.0
0.07619999999999999,nan,43.4234338190307,3.0,10.96739880029944,32.18826785108305,-29.146355130318998,Model 3,0.6898554363002369,250.0,sensitivity,33.3
0.07619999999999999,nan,29.196303749769243,3.0,19.188972709725732,0.0,-29.196303749769243,Model 2,0.6898554363002369,500.0,supported,0.0
0.07619999999999999,nan,44.27445304178257,3.0,19.39001079787942,33.230157949221095,-29.257200734500017,Model 3,0.6898554363002369,500.0,sensitivity,33.3
0.07619999999999999,nan,29.19645099390585,3.0,36.31434932716197,0.0,-29.19645099390585,Model 2,0.6898554363002369,1000.0,supported,0.0
0.07619999999999999,nan,44.32708834058216,3.0,35.919496516725445,33.299663652156745,-29.257873494275103,Model 3,0.6898554363002369,1000.0,sensitivity,33.3
0.07619999999999999,nan,29.196450995390986,3.0,104.81582576749715,0.0,-29.196450995390986,Model 2,0.6898554363002369,3000.0,supported,0.0
0.07619999999999999,nan,44.32734092606347,3.0,98.08775386908586,33.29999999999785,-29.25787336044102,Model 3,0.6898554363002369,3000.0,sensitivity,33.3
0.07619999999999999,nan,29.196450995390986,3.0,173.31730220776203,0.0,-29.196450995390986,Model 2,0.6898554363002369,5000.0,supported,0.0
0.07619999999999999,nan,44.327340703830615,3.0,154.18716149740126,33.29999999999979,-29.257873023743414,Model 3,0.6898554363002369,5000.0,sensitivity,33.3
0.07619999999999999,nan,29.196450995390986,3.0,241.81877864803067,0.0,-29.196450995390986,Model 2,0.6898554363002369,7000.0,supported,0.0
0.07619999999999999,nan,44.32734101286961,3.0,204.55035779767476,33.29999999999979,-29.257873491955056,Model 3,0.6898554363002369,7000.0,sensitivity,33.3
0.07619999999999999,nan,29.196450995390986,3.0,344.57099330839395,0.0,-29.196450995390986,Model 2,0.6898554363002369,10000.0,supported,0.0
0.07619999999999999,nan,44.3273408497454,3.0,270.06387510368756,33.29999999999979,-29.257873244812597,Model 3,0.6898554363002369,10000.0,sensitivity,33.3
0.08255,nan,28.02420617068467,3.25,5.382657192357723,0.0,-28.02420617068467,Model 2,0.6574932105184509,100.0,supported,0.0
0.08255,nan,38.28627054528201,3.25,5.706279141007635,26.901920128152707,-27.241975069458913,Model 3,0.6574932105184509,100.0,sensitivity,33.3
0.08255,nan,29.61075938247842,3.25,10.520804814445118,0.0,-29.61075938247842,Model 2,0.6574932105184509,250.0,supported,0.0
0.08255,nan,43.644031860595305,3.25,10.864713312632052,32.07294351588603,-29.599456266550614,Model 3,0.6574932105184509,250.0,sensitivity,33.3
0.08255,nan,29.667063483485308,3.25,18.950469421253583,0.0,-29.667063483485308,Model 2,0.6574932105184509,500.0,supported,0.0
0.08255,nan,44.57819412037681,3.25,19.155089033812214,33.21588803066737,-29.730795034242952,Model 3,0.6574932105184509,500.0,sensitivity,33.3
0.08255,nan,29.667278419841573,3.25,35.804065426495185,0.0,-29.667278419841573,Model 2,0.6574932105184509,1000.0,supported,0.0
0.08255,nan,44.64117323124695,3.25,35.422639839699265,33.29952068025842,-29.731738427600256,Model 3,0.6574932105184509,1000.0,sensitivity,33.3
0.08255,nan,29.667278422955984,3.25,103.21840561272398,0.0,-29.667278422955984,Model 2,0.6574932105184509,3000.0,supported,0.0
0.08255,nan,44.64153064978276,3.25,96.60592438021703,33.29999999999446,-29.73173823973066,Model 3,0.6574932105184509,3000.0,sensitivity,33.3
0.08255,nan,29.667278422955984,3.25,170.6327457987888,0.0,-29.667278422955984,Model 2,0.6574932105184509,5000.0,supported,0.0
0.08255,nan,44.6415308746496,3.25,151.81695246691388,33.299999999999784,-29.731738577357156,Model 3,0.6574932105184509,5000.0,sensitivity,33.3
0.08255,nan,29.667278422955984,3.25,238.04708598486516,0.0,-29.667278422955984,Model 2,0.6574932105184509,7000.0,supported,0.0
0.08255,nan,44.64153046658703,3.25,201.38316035488293,33.299999999999784,-29.731737964660457,Model 3,0.6574932105184509,7000.0,sensitivity,33.3
0.08255,nan,29.667278422955984,3.25,339.16859626395484,0.0,-29.667278422955984,Model 2,0.6574932105184509,10000.0,supported,0.0
0.08255,nan,44.641530466792965,3.25,265.86128684718295,33.299999999999784,-29.731737964969675,Model 3,0.6574932105184509,10000.0,sensitivity,33.3
