diameter_in,model,roof_pitch_deg,V_impact_mps,vn_mps,vt_mps,beta_prescribed,Fn_peak_N,mu,Ft_sliding_limit_N,contact_evidence_final,aero_evidence_status
1.0,Model 3,30.0,38.58435091960789,33.52888035165144,19.093619831034886,,1524.2367347091572,0.1,152.42367347091573,published_analytical_application,supported
1.0,Model 3,30.0,38.58435091960789,33.52888035165144,19.093619831034886,,1524.2367347091572,0.2,304.84734694183146,published_analytical_application,supported
1.0,Model 3,30.0,38.58435091960789,33.52888035165144,19.093619831034886,,1524.2367347091572,0.4,609.6946938836629,published_analytical_application,supported
1.0,Model 3,30.0,38.58435091960789,33.52888035165144,19.093619831034886,,1524.2367347091572,0.6,914.5420408254943,published_analytical_application,supported
1.0,Model 3,30.0,38.58435091960789,33.52888035165144,19.093619831034886,,1524.2367347091572,0.8,1219.3893877673258,published_analytical_application,supported
1.0,Model 4,30.0,38.67325203763944,33.680790274817625,19.005914596002313,0.009,1534.658510040303,0.1,153.46585100403033,published_analytical_application,reduced_order_beta
1.0,Model 4,30.0,38.67325203763944,33.680790274817625,19.005914596002313,0.009,1534.658510040303,0.2,306.93170200806065,published_analytical_application,reduced_order_beta
1.0,Model 4,30.0,38.67325203763944,33.680790274817625,19.005914596002313,0.009,1534.658510040303,0.4,613.8634040161213,published_analytical_application,reduced_order_beta
1.0,Model 4,30.0,38.67325203763944,33.680790274817625,19.005914596002313,0.009,1534.658510040303,0.6,920.7951060241818,published_analytical_application,reduced_order_beta
1.0,Model 4,30.0,38.67325203763944,33.680790274817625,19.005914596002313,0.009,1534.658510040303,0.8,1227.7268080322426,published_analytical_application,reduced_order_beta
1.25,Model 3,30.0,39.63422587649964,35.264145062521955,18.091764254455732,,2494.035106594686,0.1,249.40351065946862,published_analytical_application,supported
1.25,Model 3,30.0,39.63422587649964,35.264145062521955,18.091764254455732,,2494.035106594686,0.2,498.80702131893725,published_analytical_application,supported
1.25,Model 3,30.0,39.63422587649964,35.264145062521955,18.091764254455732,,2494.035106594686,0.4,997.6140426378745,published_analytical_application,supported
1.25,Model 3,30.0,39.63422587649964,35.264145062521955,18.091764254455732,,2494.035106594686,0.6,1496.4210639568116,published_analytical_application,supported
1.25,Model 3,30.0,39.63422587649964,35.264145062521955,18.091764254455732,,2494.035106594686,0.8,1995.228085275749,published_analytical_application,supported
1.25,Model 4,30.0,39.7472851879165,35.44408179824765,17.987877731647398,0.0096666666666666,2515.379806851128,0.1,251.53798068511279,published_analytical_application,reduced_order_beta
1.25,Model 4,30.0,39.7472851879165,35.44408179824765,17.987877731647398,0.0096666666666666,2515.379806851128,0.2,503.07596137022557,published_analytical_application,reduced_order_beta
1.25,Model 4,30.0,39.7472851879165,35.44408179824765,17.987877731647398,0.0096666666666666,2515.379806851128,0.4,1006.1519227404511,published_analytical_application,reduced_order_beta
1.25,Model 4,30.0,39.7472851879165,35.44408179824765,17.987877731647398,0.0096666666666666,2515.379806851128,0.6,1509.2278841106765,published_analytical_application,reduced_order_beta
1.25,Model 4,30.0,39.7472851879165,35.44408179824765,17.987877731647398,0.0096666666666666,2515.379806851128,0.8,2012.3038454809023,published_analytical_application,reduced_order_beta
1.5,Model 3,30.0,40.58345556321928,36.739678018530356,17.239864400467642,,3758.563331874812,0.1,375.8563331874812,published_analytical_application,supported
1.5,Model 3,30.0,40.58345556321928,36.739678018530356,17.239864400467642,,3758.563331874812,0.2,751.7126663749624,published_analytical_application,supported
1.5,Model 3,30.0,40.58345556321928,36.739678018530356,17.239864400467642,,3758.563331874812,0.4,1503.4253327499248,published_analytical_application,supported
1.5,Model 3,30.0,40.58345556321928,36.739678018530356,17.239864400467642,,3758.563331874812,0.6,2255.137999124887,published_analytical_application,supported
