Cd_impact,Dmax_m,Re_impact,V_impact_mps,aero_evidence_status,dV_1to2_pct,dV_1to3_pct,dV_2to3_pct,diameter_in,impact_time_s,impact_x_mps,impact_z_mps,incidence_angle_deg,mass_kg,model,psi_impact,release_height_m,roof_pitch_deg,status,wind_mps
0.5648935748053542,0.0254,33890.24423521618,38.58435091960789,supported,-86.09620569724274,-72.44909538626769,98.1538565215159,1.0,51.90322920486387,33.29999999970427,-19.490052229461625,44.660122438832396,0.0067783948503802585,Model 3,0.9205792804799058,1000.0,15.0,sensitivity,33.3
0.5648935748053542,0.0254,33890.24423521618,38.58435091960789,supported,-86.09620569724274,-72.44909538626769,98.1538565215159,1.0,51.90322920486387,33.29999999970427,-19.490052229461625,29.6601224388324,0.0067783948503802585,Model 3,0.9205792804799058,1000.0,30.0,sensitivity,33.3
0.5648935748053542,0.0254,33890.24423521618,38.58435091960789,supported,-86.09620569724274,-72.44909538626769,98.1538565215159,1.0,51.90322920486387,33.29999999970427,-19.490052229461625,14.660122438832401,0.0067783948503802585,Model 3,0.9205792804799058,1000.0,45.0,sensitivity,33.3
0.5808352016610486,0.03175,46717.99237239589,39.63422587649964,supported,-84.66989007516167,-71.69943900733993,84.60768468989667,1.25,47.388874507470995,33.299999974898874,-21.49376333965573,42.159441486053865,0.013239052442148944,Model 3,0.8952624927693241,1000.0,15.0,sensitivity,33.3
0.5808352016610486,0.03175,46717.99237239589,39.63422587649964,supported,-84.66989007516167,-71.69943900733993,84.60768468989667,1.25,47.388874507470995,33.299999974898874,-21.49376333965573,27.159441486053858,0.013239052442148944,Model 3,0.8952624927693241,1000.0,30.0,sensitivity,33.3
0.5808352016610486,0.03175,46717.99237239589,39.63422587649964,supported,-84.66989007516167,-71.69943900733993,84.60768468989667,1.25,47.388874507470995,33.299999974898874,-21.49376333965573,12.159441486053863,0.013239052442148944,Model 3,0.8952624927693241,1000.0,45.0,sensitivity,33.3
0.5986002045611778,0.038099999999999995,60505.56271759458,40.58345556321928,supported,-83.4577749023062,-71.02164772843972,75.17807973487346,1.5,44.18316984751004,33.299999537869134,-23.1975622906742,40.13802418118979,0.022877082620033365,Model 3,0.8686932722662523,1000.0,15.0,sensitivity,33.3
0.5986002045611778,0.038099999999999995,60505.56271759458,40.58345556321928,supported,-83.4577749023062,-71.02164772843972,75.17807973487346,1.5,44.18316984751004,33.299999537869134,-23.1975622906742,25.138024181189774,0.022877082620033365,Model 3,0.8686932722662523,1000.0,30.0,sensitivity,33.3
0.5986002045611778,0.038099999999999995,60505.56271759458,40.58345556321928,supported,-83.4577749023062,-71.02164772843972,75.17807973487346,1.5,44.18316984751004,33.299999537869134,-23.1975622906742,10.13802418118976,0.022877082620033365,Model 3,0.8686932722662523,1000.0,45.0,sensitivity,33.3
0.6182856631069042,0.044449999999999996,75035.00872177431,41.43578759845885,supported,-82.41909759255068,-70.41304558683467,68.29030573896398,1.75,41.80061453151031,33.29999646136896,-24.65836023699489,38.48037122152866,0.036327959901256694,Model 3,0.8410351891391397,1000.0,15.0,sensitivity,33.3
