diameter_in,vt_M3_mps,vt_M4_mps,delta_vt_mps,delta_vt_pct,vn_M3_mps,vn_M4_mps,Fn_M3_N,Fn_M4_N,delta_Fn_pct
1.0,19.093619831034886,19.005914596002313,-0.08770523503257266,-0.4593431513180965,33.52888035165144,33.680790274817625,1524.2367347091572,1534.658510040303,0.6837373154593672
1.25,18.091764254455732,17.987877731647398,-0.10388652280833455,-0.5742199674238451,35.264145062521955,35.44408179824765,2494.035106594686,2515.379806851128,0.8558299841089799
1.5,17.239864400467642,17.120010328632496,-0.11985407183514596,-0.6952147015256968,36.739678018530356,36.94727136044284,3758.563331874812,3797.9547753801794,1.0480452243894653
1.75,16.509462762979993,16.37384178167652,-0.13562098130347167,-0.82147422511883,38.004764611590126,38.23966704178009,5345.74170813131,5413.254461262597,1.2629258355037047
2.0,15.882413110308645,15.731257217988519,-0.15115589232012638,-0.9517186794619835,39.09082238311646,39.35263206847833,7280.088246573796,7389.441255455867,1.5020835624284528
